canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
Brc1cccc(Nc2ncnc3ncccc23)c1,6.162411561764489,687.9999999999999,0,1,,6.162411561764489,6.162411561764489,CHEMBL54475,CHEMBL54475,1
Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172,2.6099999999999994,1,1,,8.58335949266172,8.58335949266172,CHEMBL4171764,CHEMBL4171764,1
Brc1cccc(Nc2ncnc3sccc23)c1,7.455931955649724,35.0,1,1,,7.455931955649724,7.455931955649724,CHEMBL355982,CHEMBL355982,1
Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204498794,755.9999999999997,0,1,,6.121478204498794,6.121478204498794,CHEMBL117710,CHEMBL117710,1
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,7.054039296422431,88.30000000000008,1,1,,7.054039296422431,7.054039296422431,CHEMBL4867893,CHEMBL4867893,1
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.471083299722345,33.80000000000003,1,1,,7.471083299722345,7.471083299722345,CHEMBL4863088,CHEMBL4863088,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,7.413412695328245,38.600000000000016,1,1,,7.413412695328245,7.413412695328245,CHEMBL4852264,CHEMBL4852264,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5F)cc4)[nH]c23)CC1,7.484126156288321,32.80000000000001,1,1,,7.484126156288321,7.484126156288321,CHEMBL4857353,CHEMBL4857353,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,7.29413628771608,50.80000000000006,1,1,,7.29413628771608,7.29413628771608,CHEMBL4856592,CHEMBL4856592,1
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,7.527243550682788,29.699999999999996,1,1,,7.527243550682788,7.527243550682788,CHEMBL4875332,CHEMBL4875332,1
