molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL150,7,123,5.398616035381953,37,60,False
CHEMBL484119,7,123,5.732730112950008,16,60,False
CHEMBL484316,7,123,5.732730112950008,17,60,False
CHEMBL490980,7,123,5.247717970609665,50,60,False
CHEMBL443171,7,123,5.2045852442582445,54,60,False
CHEMBL519982,7,123,5.390174353917439,40,60,False
CHEMBL28,7,123,5.394091919263204,39,60,False
CHEMBL2315699,7,123,5.802355244424609,7,60,False
CHEMBL2315697,7,123,5.802355244424609,8,60,False
CHEMBL275638,7,123,5.839308687448502,6,60,False
CHEMBL483830,7,123,5.40179842154185,36,60,False
CHEMBL2315410,7,123,5.718961959944831,19,60,False
CHEMBL485258,7,123,5.313395231405894,45,60,False
CHEMBL519395,7,123,5.330377024941974,44,60,False
CHEMBL483831,7,123,5.363677333725824,42,60,False
CHEMBL453504,7,123,5.258333930227492,47,60,False
CHEMBL485485,7,123,5.238733983357747,51,60,False
CHEMBL463054,7,123,5.213046061462826,53,60,False
CHEMBL2315701,7,123,5.395741185347239,38,60,False
CHEMBL441343,7,123,5.087281233602099,56,60,False
CHEMBL2315698,7,123,5.484875130123563,29,60,False
CHEMBL2315696,7,123,5.484875130123563,30,60,False
CHEMBL2315409,7,123,5.3778246492809725,41,60,False
CHEMBL489146,7,123,5.080640603303909,57,60,False
CHEMBL17329,7,123,5.248741610447566,49,60,False
CHEMBL556684,7,123,5.176732286082373,55,60,False
CHEMBL483531,7,123,4.69264679643843,58,60,False
CHEMBL483532,7,123,4.390078152947956,59,60,False
CHEMBL450484,7,123,4.031167246235741,60,60,False
CHEMBL2316916,7,2024,6.510849493609535,1,60,False
CHEMBL5614250,7,2024,5.8591994457774685,5,60,False
CHEMBL5564149,7,2024,6.229287003676097,2,60,False
CHEMBL13983,7,2024,5.747463666598002,17,60,False
CHEMBL554993,7,2024,5.8734855508804324,4,60,False
CHEMBL512054,7,2024,6.0331365044911704,3,60,False
CHEMBL131921,7,2024,5.53563775618871,25,60,False
CHEMBL2315700,7,2024,5.8517873789204495,6,60,False
CHEMBL4531006,7,2024,5.683256672904605,20,60,False
CHEMBL241609,7,2024,5.337044565836589,41,60,False
CHEMBL485475,7,2024,5.5201277037108385,26,60,False
CHEMBL520144,7,2024,5.594450232982635,21,60,False
CHEMBL491174,7,2024,5.706784614721934,18,60,False
CHEMBL243664,7,2024,5.413086642026901,35,60,False
CHEMBL4539558,7,2024,5.703243072032929,19,60,False
CHEMBL490960,7,2024,5.402227474654162,36,60,False
CHEMBL483428,7,2024,5.430246665636698,33,60,False
CHEMBL489139,7,2024,5.226778207619985,49,60,False
