molecule_chembl_id,canonical_smiles,source,is_positive_control,name,rf_pred,rf_pred_calibrated,rf_pred_isotonic,rank
CHEMBL17329,COC(=O)/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.388796691894531,5.336974180165445,5.328955190091192,43
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.376444812615712,5.323544805388267,5.328955190091192,44
CHEMBL521472,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.3744392538070676,5.321364295016446,5.328955190091192,45
CHEMBL450484,O=C(O)/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.372133038640023,5.318856901032425,5.328955190091192,46
CHEMBL490980,NC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.36462164958318,5.310690268533474,5.328955190091192,47
CHEMBL489146,CC(=O)N/C=C/c1cc(O)ccc1O,chembl_nonmodeled,False,,5.3405827277898785,5.28455435166493,5.328955190091192,48
CHEMBL485258,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,chembl_nonmodeled,False,,5.33802186203003,5.2817700930702065,5.328955190091192,49
CHEMBL443171,O=C(O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.332544542153675,5.27581496836945,5.328955190091192,50
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.330836368401845,5.273957784941726,5.328955190091192,51
CHEMBL490960,CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,chembl_nonmodeled,False,,5.198831610679626,5.130437813299674,5.262411541408962,52
CHEMBL521184,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.14651782174905,5.07356051862213,5.0710253525864,53
CHEMBL483831,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,chembl_nonmodeled,False,,5.131316738724709,5.0570333945833665,5.0710253525864,54
CHEMBL518986,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,chembl_nonmodeled,False,,5.130671488245327,5.05633185675927,5.0710253525864,55
CHEMBL483830,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,chembl_nonmodeled,False,,5.117234872579575,5.041723120433478,5.0710253525864,56
CHEMBL4531006,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,chembl_nonmodeled,False,,5.055082955360413,4.974149484825857,5.069930828534639,57
CHEMBL2315697,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.050476590196292,4.969141291112728,5.069930828534639,58
CHEMBL2315699,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.050476590196292,4.969141291112728,5.069930828534639,58
CHEMBL2315410,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,chembl_nonmodeled,False,,5.021402793924014,4.937531290923911,5.069930828534639,60
CHEMBL2315701,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,chembl_nonmodeled,False,,4.991426718831062,4.904940303132898,4.736352872848511,61
CHEMBL2315696,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled,False,,4.952948033213615,4.863104993830937,4.736352872848511,62
CHEMBL2315698,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled,False,,4.952948033213615,4.863104993830937,4.736352872848511,62
CHEMBL2315409,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C1=O,chembl_nonmodeled,False,,4.925101243853569,4.8328290364469915,4.736352872848511,64
